"eID","RS40003","RS40004","RS40005","RS40007","RS40008","RS40009","RS40010","RS40011","RS40012","RS40013","RS40014","RS40015","RS40016","RS40017","RS40018"
127,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
128,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
129,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
130,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
131,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
132,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
133,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
134,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
135,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
136,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
137,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
138,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
139,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
140,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
141,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
142,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
143,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
144,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
145,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
146,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
147,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
148,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
149,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
150,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
151,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
152,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
153,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
154,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
155,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
156,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
157,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
158,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
159,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
160,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
161,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
162,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
163,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
164,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
165,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
166,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
167,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
168,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
169,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
170,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
171,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
172,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
173,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
174,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
175,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
176,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
177,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
178,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
179,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
180,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
181,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
182,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
183,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
184,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
185,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
186,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
187,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
188,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
189,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
190,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
191,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
192,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
193,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
194,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
195,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
196,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
197,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
198,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
199,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
200,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
201,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
202,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
203,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
204,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
